player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction
Deportivo La Coruna,Fabián Larry Estoyanoff Poggio,Right Defensive Midfield,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio Abanca-Riazor,RL
Real Zaragoza,Diego Alberto Milito,Right Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio de la Romareda,
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,César Sánchez Domínguez,Real Zaragoza,La Liga,Regular Season,Estadio de la Romareda,RH
Barcelona,"Samuel Eto""o Fils",Center Forward,Right Foot,Normal,Juan Antonio Rodríguez Villamuela,Deportivo La Coruna,La Liga,Regular Season,Camp Nou,LH
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Stefano Sorrentino,Recreativo Huelva,La Liga,Regular Season,Camp Nou,LL
Atlético Madrid,Diego Forlán Corazo,Left Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio Vicente Calderón,LC
Real Murcia,Iván Daniel Alonso Vallejo,Left Center Forward,Left Foot,Normal,José Manuel Pinto Colorado,Barcelona,La Liga,Regular Season,Estadio Enrique Roca de Murcia,
Netherlands Women's,Lieke Martens,Left Wing,Right Foot,Normal,Ayaka Yamashita,Japan Women's,Women's World Cup,Round of 16,Roazhon Park,RL
Barcelona,"Samuel Eto""o Fils",Center Forward,Right Foot,Normal,Ricardo Alexandre Martins Soares Pereira,Real Betis,La Liga,Regular Season,Estadio Benito Villamarín,LL
England Women's,Nikita Parris,Right Midfield,Right Foot,Normal,Ingrid Hjelmseth,Norway Women's,Women's World Cup,Regular Season,Stade Océane,LH
Racing Santander,Nikola Žigi?,Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Campos de Sport de El Sardinero,LL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Idriss Carlos Kameni,Espanyol,La Liga,Regular Season,Estadi Olímpic Lluís Companys,RL
Barcelona,"Samuel Eto""o Fils",Center Forward,Right Foot,Normal,Grégory Coupet,Atlético Madrid,La Liga,Regular Season,Camp Nou,LL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Antonio Rodríguez Martínez,Racing Santander,La Liga,Regular Season,Camp Nou,LL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Gorka Iraizoz Moreno,Athletic Bilbao,La Liga,Regular Season,Camp Nou,LH
Villarreal,Matías Ariel Fernández Fernández,Center Attacking Midfield,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Camp Nou,
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Asier Riesgo Unamuno,Recreativo Huelva,La Liga,Regular Season,Camp Nou,LL
Barcelona,"Samuel Eto""o Fils",Center Forward,Right Foot,Normal,Iker Casillas Fernández,Real Madrid,La Liga,Regular Season,Camp Nou,RL
Barcelona,Zlatan Ibrahimovi?,Center Forward,Right Foot,Normal,Roberto Jiménez Gago,Real Zaragoza,La Liga,Regular Season,Estadio de la Romareda,LL
Getafe,Roberto Soldado Rillo,Right Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Camp Nou,CL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Iker Casillas Fernández,Real Madrid,La Liga,Regular Season,Estadio Santiago Bernabéu,CH
Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio Santiago Bernabéu,RC
Real Sociedad,Xabier Prieto Argarate,Right Wing,Right Foot,Normal,José Manuel Pinto Colorado,Barcelona,La Liga,Regular Season,Reale Arena,CH
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Dudú Aouate,Mallorca,La Liga,Regular Season,Camp Nou,
England Women's,Stephanie Houghton,Right Center Back,Right Foot,Normal,Alyssa Naeher,United States Women's,Women's World Cup,Semi-finals,Groupama Stadium,LL
Getafe,Manuel del Moral Fernández,Left Wing,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Coliseum Alfonso Pérez,LH
Athletic Bilbao,Andoni Iraola Sagarna,Right Back,Right Foot,Normal,José Manuel Pinto Colorado,Barcelona,La Liga,Regular Season,Camp Nou,RL
Racing Santander,Mohamed Gasana Tchité,Right Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Campos de Sport de El Sardinero,LH
